,Title,Prices,Location,SFT,Status,SellerInfo,No_of_years
0,Residential Plot,25200000,"Kesarapalli, Vijayawada",7200 ,New,Himaja Constructions P Ltd,1 - 2 years old
1,Residential Plot,6804000,"Kesarapalli, Vijayawada",1944 ,New,Himaja Constructions P Ltd,1 - 2 years old
2,2 BHK Apartment,4557000,"Gannavaram, Vijayawada",1266 ,Ready to move,Himaja Constructions P Ltd,3 - 4 years old2 BathroomsNew 
3,3 BHK Apartment,5550000,"Poranki, Vijayawada",1587 ,Ready to move,seller,3 BathroomsResale West facing
4,Residential Plot,1550000,"Kankipadu, Vijayawada",1560 ,Resale,seller,7 - 8 years old2 open sidesEast facing
5,2 BHK Apartment,4800000,"Poranki, Vijayawada",1450 ,Ready to move,seller,2 BathroomsResale 
6,2 BHK Independent House,5000000,"Kankipadu, Vijayawada",1290 ,Under Construction,seller,2 BathroomsResale NorthEast facing
7,2 BHK Apartment,4000000,"Poranki, Vijayawada",1200 ,Ready to move,seller,2 BathroomsResale 
8,3 BHK Apartment,5986000,"Gannavaram, Vijayawada",1663 ,Ready to move,seller,3 BathroomsResale East facing
9,3 BHK Independent Floor,5600000,"Gunadala, Vijayawada",1500 ,Ready to move,seller,3 BathroomsResale 
10,3 BHK Apartment,8900000,"Gollapudi, Vijayawada",2062 ,Ready to move,seller,3 BathroomsResale 
11,2 BHK Apartment,3900000,"Enikepadu, Vijayawada",1250 ,Ready to move,seller,2 BathroomsResale 
12,2 BHK Independent House,5900000,"Benz Circle, Vijayawada",1350 ,Ready to move,seller,2 BathroomsResale East facing
13,3 BHK Independent Floor,9500000,"Vidhyadharpuram, Vijayawada",1600 ,Under Construction,seller,3 BathroomsResale West facing
14,6 BHK Independent House,11000000,"Penamaluru, Vijayawada",3700 ,Ready to move,seller,7 - 8 years old7 BathroomsResale 
15,Residential Plot,1682999,"Kankipadu, Vijayawada",1782 ,Resale,seller,1 - 2 years old
16,Residential Plot,3300000,"Poranki, Vijayawada",1800 ,Resale,seller,1 open sidesWest facing
17,Residential Plot,2000000,"Kankipadu, Vijayawada",1500 ,Resale,seller,7 - 8 years old
18,3 BHK Apartment,16600000,"Benz Circle, Vijayawada",2317 ,Under Construction,Dial To Property,3 BathroomsNew East facing
19,3 BHK Apartment,7200000,"Gannavaram, Vijayawada",1650 ,Ready to move,PV Infra pvt LTD,2 - 3 years old3 BathroomsNew 
