,Title,Prices,Location,SFT,Status,SellerInfo,No_of_years
0,2 BHK Apartment,4413000,"Gannavaram, Vijayawada",1266 ,Ready to move,seller,2 BathroomsResale East facing
1,3 BHK Apartment,6500000,"Ramavarapadu, Vijayawada",2000 ,Ready to move,seller,3 - 4 years old3 BathroomsResale 
2,2 BHK Independent House,4800000,"Kanuru, Vijayawada",1150 ,Under Construction,seller,2 BathroomsResale East facing
3,Residential Plot,2250000,"Kankipadu, Vijayawada",1620 ,Resale,seller,5 open sidesEast facing
4,1 BHK Apartment,5350000,"Gannavaram, Vijayawada",914 ,Ready to move,Bhargav forcloser,1 BathroomsResale 
5,2 BHK Independent House,5000000,"Payakapuram, Vijayawada",900 ,Under Construction,Sri Sai Ram Real Estate,2 BathroomsNew 
6,3 BHK Apartment,10300000,"Benz Circle, Vijayawada",2109 ,Under Construction,Guest,3 BathroomsNew East facing
7,2 BHK Apartment,3400000,"Kesarapalli, Vijayawada",1174 ,Ready to move,seller,2 - 3 years old2 BathroomsResale 
8,3 BHK Independent Floor,12500000,"Bharathi Nagar, Vijayawada",1870 ,Under Construction,AP and TS Properties,3 BathroomsNew 
9,Residential Plot,3333000,"Poranki, Vijayawada",1818 ,New,Dial To Property,1 open sidesEast facing
10,Residential Plot,4392000,"Poranki, Vijayawada",1647 ,New,Prasanna Kumar,1 open sides
11,Residential Plot,1700000,"Gannavaram, Vijayawada",1800 ,Resale,seller,
12,3 BHK Apartment,10500000,"Sri Ramachandra Nagar, Vijayawada",2000 ,Ready to move,Guest,7 - 8 years old3 BathroomsNew 
13,Residential Plot,2470000,"Kankipadu, Vijayawada",1647 ,New,Dial To Property,7 - 8 years old
14,Residential Plot,960000,"Vijayawada Road, Vijayawada",1080 ,New,PropertiesAdda,"Possession by Dec 18992 open sides 20,000 booking amount"
15,3 BHK Apartment,5986000,"Gannavaram, Vijayawada",1663 ,Ready to move,Himaja Constructions P Ltd,3 - 4 years oldNew 
16,2 BHK Independent House,5999000,"Edupugallu, Vijayawada",1350 ,Under Construction,Ravi,Possession by Dec 20232 BathroomsNew 
17,2 BHK Independent House,4499000,"Kankipadu, Vijayawada",1500 ,Under Construction,satya,Possession by Aug 20232 BathroomsNew 
18,3 BHK Apartment,5000000,"Gosala, Vijayawada",1260 ,Under Construction,harish,Possession by Mar 20243 Bathrooms1st of 6floor
19,1 BHK Apartment,2800000,"Gannavaram, Vijayawada",661 ,Ready to move,Murali Krishna,1 - 2 years old1 Bathrooms1st of 5floor
